District,Division,Area,Club Number,Club Name,Club Status,CSP,Mem. Base,Active Members,Net Growth,Goals Met,Level 1s,Level 2s,Add. Level 2s,Level 3s,"Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award",New Members,Add. New Members,Off. Trained Round 1,Off. Trained Round 2,Mem. dues on time Oct,Mem. dues on time Apr,Off. List On Time,Club Distinguished Status,New,Late Ren.,Oct. Ren.,Apr. Ren.,Total Ren.,Total Chart,Total to Date,Distinguished Status,Charter Date/Suspend Date,October Renewals,April Renewals,Nov Visit award,May Visit award,Membership to date,Club Goals Met,Distinguished Club,Area Club Base,Area Paid Club Goal for Dist.,Area Paid Club Goal for Select Dist.,Area Paid Club Goal for Pres. Dist.,Total Paid Area Clubs,Area Dist. Club Goal for Dist.,Area Dist. Club Goal for Select Dist.,Area Dist. Club Goal for Pres. Dist.,Total Dist. Area Clubs,Distinguished Area,Division Club Base,Division Paid Club Goal for Dist.,Division Paid Club Goal for Select Dist.,Division Paid Club Goal for Pres. Dist.,Total Paid Division Clubs,Division Dist. Club Goal for Dist.,Division Dist. Club Goal for Select Dist.,Division Dist. Club Goal for Pres. Dist.,Total Dist. Division Clubs,Distinguished Division,Charter Date/Suspend Date_div
121,A,02,28678951.0,Welldoc Toastmasters,Active,Y,20.0,10.0,-10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,2.0,0.0,0.0,1.0,,5.0,0.0,9.0,5.0,14.0,0.0,19.0,,,1.0,1.0,1.0,1.0,10.0,1.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,02,28679251.0,Terra,Suspended,Y,26.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,26.0,26.0,,Charter 09/30/25 Susp 03/31/26,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,Charter 09/30/25 Susp 03/31/26
121,A,03,3793772.0,Utthishta Toastmasters,Active,Y,55.0,55.0,0.0,10.0,5.0,2.0,6.0,7.0,1.0,1.0,4.0,24.0,7.0,7.0,1.0,1.0,2.0,M,28.0,0.0,59.0,46.0,105.0,0.0,133.0,M,,1.0,1.0,1.0,1.0,55.0,10.0,M,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,03,3926170.0,Textron India Toastmasters Club,Active,Y,33.0,37.0,4.0,10.0,6.0,2.0,3.0,4.0,1.0,3.0,4.0,19.0,7.0,5.0,1.0,1.0,2.0,M,23.0,0.0,22.0,27.0,49.0,0.0,72.0,M,,1.0,1.0,1.0,1.0,37.0,10.0,M,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,03,6479232.0,Mphasis Speech Crafters,Active,Y,23.0,30.0,7.0,10.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,27.0,7.0,6.0,1.0,1.0,2.0,M,31.0,0.0,14.0,11.0,25.0,0.0,56.0,M,,1.0,1.0,1.0,1.0,30.0,10.0,M,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,03,28678028.0,Namaste Orators,Suspended,Y,10.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,, Susp 03/31/26,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished, Susp 03/31/26
121,A,03,28678938.0,DSBA Toastmaster Club,Active,Y,28.0,26.0,-2.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,15.0,7.0,7.0,0.0,0.0,1.0,D,19.0,0.0,14.0,7.0,21.0,0.0,40.0,D,,1.0,1.0,1.0,1.0,26.0,5.0,D,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,03,28679826.0,DSBA Toastmasters Legacy Club,Active,N,27.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,27.0,27.0,27.0,54.0,,Charter 03/01/26,0.0,1.0,0.0,1.0,27.0,1.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,Charter 03/01/26
121,A,04,7991317.0,Eloquence Elixir Toastmasters,Active,Y,21.0,16.0,-5.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0,7.0,7.0,1.0,1.0,2.0,,10.0,0.0,15.0,13.0,28.0,0.0,38.0,,,1.0,1.0,1.0,0.0,16.0,6.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,04,28675492.0,Professional Orators and Leaders TM Club,Active,Y,25.0,25.0,0.0,10.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,7.0,7.0,7.0,1.0,1.0,1.0,M,11.0,0.0,21.0,18.0,39.0,0.0,50.0,M,,1.0,1.0,1.0,0.0,25.0,10.0,M,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,04,28676363.0,Nagarabhavi Toastmasters Club,Active,Y,20.0,10.0,-10.0,8.0,5.0,2.0,0.0,1.0,1.0,1.0,4.0,8.0,7.0,6.0,1.0,0.0,1.0,,12.0,0.0,14.0,8.0,22.0,0.0,34.0,,,1.0,1.0,1.0,1.0,10.0,8.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,04,28677190.0,Christ Kengeri Club,Active,Y,32.0,13.0,-19.0,7.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,11.0,7.0,6.0,1.0,1.0,1.0,,15.0,0.0,19.0,13.0,32.0,0.0,47.0,,,1.0,1.0,1.0,1.0,13.0,7.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,04,28677268.0,ABBS Toastmasters Club,Active,Y,8.0,17.0,9.0,7.0,9.0,2.0,2.0,2.0,0.0,0.0,4.0,14.0,6.0,7.0,1.0,0.0,0.0,S,18.0,0.0,4.0,5.0,9.0,0.0,27.0,S,,1.0,1.0,1.0,1.0,17.0,7.0,S,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,05,631732.0,Mahaveer Speakers Forum Toastmaster Club,Active,Y,20.0,8.0,-12.0,6.0,2.0,2.0,0.0,2.0,1.0,1.0,4.0,3.0,5.0,4.0,0.0,0.0,2.0,,7.0,0.0,14.0,8.0,22.0,0.0,29.0,,,1.0,1.0,1.0,1.0,8.0,6.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,0.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,05,632019.0,Jain Speakers Forum Toastmasters Club,Active,Y,20.0,8.0,-12.0,6.0,2.0,2.0,0.0,2.0,1.0,5.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,,4.0,0.0,15.0,8.0,23.0,0.0,27.0,,,1.0,1.0,1.0,1.0,8.0,6.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,0.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,05,843177.0,Talk Master CMS Toastmasters Club,Active,Y,20.0,8.0,-12.0,5.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,,2.0,0.0,16.0,8.0,24.0,0.0,26.0,,,1.0,1.0,1.0,1.0,8.0,5.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,0.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,05,843182.0,Speech Master CMS Toastmasters Club,Active,Y,20.0,9.0,-11.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,7.0,0.0,0.0,2.0,,4.0,0.0,16.0,8.0,24.0,0.0,28.0,,,1.0,1.0,1.0,1.0,9.0,4.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,0.0,,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,B,01,7335393.0,Shivamogga Toastmasters,Active,Y,11.0,9.0,-2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,4.0,0.0,1.0,1.0,,5.0,0.0,5.0,7.0,12.0,0.0,17.0,,,1.0,1.0,1.0,1.0,9.0,4.0,,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,01,28675426.0,Valyou Toastmasters,Suspended,Y,8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,,1.0,0.0,5.0,0.0,5.0,0.0,6.0,, Susp 03/31/26,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,, Susp 03/31/26
121,B,01,28676014.0,Autodesk Toastmasters Club,Active,Y,51.0,83.0,32.0,10.0,5.0,2.0,2.0,4.0,1.0,8.0,4.0,94.0,7.0,7.0,1.0,1.0,1.0,M,98.0,0.0,25.0,42.0,67.0,0.0,165.0,M,,1.0,1.0,1.0,1.0,83.0,10.0,M,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,01,28676901.0,Accenture Toasters,Active,Y,25.0,32.0,7.0,7.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,23.0,4.0,4.0,1.0,1.0,1.0,S,27.0,0.0,18.0,20.0,38.0,0.0,65.0,S,,1.0,1.0,1.0,1.0,32.0,7.0,S,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,01,28678720.0,Acharyas Speaking Forum,Ineligible,Y,20.0,0.0,-20.0,5.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,,0.0,0.0,20.0,0.0,20.0,0.0,20.0,,,1.0,0.0,1.0,1.0,0.0,5.0,,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,01,28678997.0,Paychex Catalyst Crew 2,Ineligible,Y,55.0,0.0,-55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,1.0,0.0,0.0,1.0,,18.0,0.0,0.0,0.0,0.0,55.0,73.0,,Charter 08/01/25,1.0,0.0,1.0,1.0,0.0,2.0,,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,Charter 08/01/25
121,B,02,547.0,deejays Toastmasters,Active,Y,20.0,10.0,-10.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,7.0,7.0,1.0,1.0,2.0,,6.0,0.0,12.0,10.0,22.0,0.0,28.0,,,1.0,1.0,1.0,1.0,10.0,5.0,,5.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,02,7734175.0,Republic of Toastmasters,Active,Y,20.0,20.0,0.0,10.0,7.0,2.0,5.0,9.0,1.0,1.0,4.0,19.0,7.0,7.0,1.0,1.0,2.0,P,23.0,0.0,8.0,10.0,18.0,0.0,41.0,P,,1.0,1.0,1.0,1.0,20.0,10.0,P,5.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,02,28677183.0,Titans Toastmasters Club,Active,Y,16.0,13.0,-3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,7.0,1.0,0.0,2.0,,10.0,0.0,14.0,9.0,23.0,0.0,33.0,,,1.0,1.0,1.0,1.0,13.0,4.0,,5.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,02,28678400.0,Voices of Pearson Toastmasters Club,Active,Y,34.0,23.0,-11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,5.0,5.0,1.0,0.0,1.0,D,23.0,0.0,26.0,11.0,37.0,0.0,60.0,D,,1.0,1.0,1.0,1.0,23.0,5.0,D,5.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,02,28678746.0,The Orator's Society,Suspended,Y,50.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,, Susp 03/31/26,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,2.0,,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,, Susp 03/31/26
121,B,03,6975394.0,Toastmasters of HP,Active,Y,20.0,28.0,8.0,10.0,9.0,2.0,3.0,4.0,1.0,3.0,4.0,18.0,7.0,7.0,1.0,1.0,2.0,M,22.0,0.0,13.0,18.0,31.0,0.0,53.0,M,,1.0,1.0,1.0,1.0,28.0,10.0,M,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,03,7908984.0,RCB Griffin,Active,Y,29.0,25.0,-4.0,10.0,8.0,2.0,7.0,7.0,1.0,14.0,4.0,9.0,7.0,7.0,1.0,1.0,2.0,M,13.0,0.0,19.0,12.0,31.0,0.0,44.0,M,,1.0,1.0,1.0,1.0,25.0,10.0,M,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,03,7908988.0,RCB Pegasus,Active,Y,27.0,25.0,-2.0,10.0,11.0,2.0,5.0,6.0,1.0,8.0,4.0,9.0,7.0,7.0,1.0,1.0,2.0,M,13.0,0.0,17.0,12.0,29.0,0.0,42.0,M,,1.0,1.0,1.0,1.0,25.0,10.0,M,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,03,7908991.0,RCB Phoenix,Active,Y,25.0,8.0,-17.0,8.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,4.0,1.0,1.0,2.0,,0.0,0.0,14.0,8.0,22.0,0.0,22.0,,,1.0,1.0,1.0,1.0,8.0,8.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,03,28678996.0,Paychex Catalyst Crew 1,Ineligible,Y,21.0,0.0,-21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,5.0,0.0,0.0,0.0,1.0,,16.0,0.0,0.0,0.0,0.0,21.0,37.0,,Charter 08/01/25,1.0,0.0,1.0,1.0,0.0,2.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,Charter 08/01/25
121,B,03,28679255.0,Aurigo Toastbusters,Suspended,Y,26.0,0.0,-26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,26.0,26.0,,Charter 09/30/25 Susp 03/31/26,0.0,0.0,1.0,1.0,0.0,1.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,Charter 09/30/25 Susp 03/31/26
121,B,04,5868577.0,Bosch Raconteurs,Active,Y,25.0,23.0,-2.0,10.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,8.0,7.0,7.0,1.0,1.0,1.0,P,12.0,0.0,21.0,18.0,39.0,0.0,51.0,P,,1.0,1.0,1.0,1.0,23.0,10.0,P,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,04,5998569.0,BMC Bengaluru Toastmasters Club,Active,Y,8.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,7.0,4.0,0.0,0.0,1.0,,4.0,0.0,8.0,6.0,14.0,0.0,18.0,,,1.0,1.0,1.0,1.0,8.0,4.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,04,7934414.0,V R Advanced Toastmasters,Active,Y,25.0,20.0,-5.0,7.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,7.0,7.0,1.0,1.0,1.0,S,5.0,0.0,15.0,18.0,33.0,0.0,38.0,S,,1.0,1.0,1.0,1.0,20.0,7.0,S,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,B,04,28677046.0,Bosch Adugodi,Active,Y,18.0,18.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,12.0,5.0,4.0,1.0,0.0,1.0,,16.0,0.0,9.0,11.0,20.0,0.0,36.0,,,1.0,1.0,1.0,1.0,18.0,5.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,Distinguished,18.0,18.0,19.0,20.0,15.0,9.0,9.0,10.0,9.0,,
121,C,01,1389390.0,IIMB Orators Club,Active,Y,58.0,59.0,1.0,10.0,8.0,2.0,5.0,3.0,1.0,5.0,4.0,10.0,7.0,7.0,1.0,1.0,2.0,M,14.0,0.0,52.0,53.0,105.0,0.0,119.0,M,,1.0,1.0,1.0,1.0,59.0,10.0,M,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,,17.0,17.0,18.0,19.0,15.0,8.0,9.0,10.0,8.0,,
121,C,01,7514725.0,LKQI Toastmasters Club,Active,Y,20.0,9.0,-11.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,,8.0,0.0,9.0,3.0,12.0,0.0,20.0,,,1.0,1.0,1.0,0.0,9.0,5.0,,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,,17.0,17.0,18.0,19.0,15.0,8.0,9.0,10.0,8.0,,
121,C,01,7762021.0,Christ Toastmasters Club,Active,Y,15.0,9.0,-6.0,9.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,6.0,7.0,1.0,0.0,1.0,,7.0,0.0,13.0,7.0,20.0,0.0,27.0,,,1.0,1.0,1.0,1.0,9.0,9.0,,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,,17.0,17.0,18.0,19.0,15.0,8.0,9.0,10.0,8.0,,
121,C,01,28678373.0,Sense-say-tional Toastmasters,Low,Y,20.0,6.0,-14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,0.0,2.0,,2.0,0.0,12.0,5.0,17.0,0.0,19.0,,,1.0,0.0,1.0,1.0,6.0,2.0,,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,,17.0,17.0,18.0,19.0,15.0,8.0,9.0,10.0,8.0,,
