"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"121","F","02","00585650","Mangalore Club","8","0","34","30","64","0","72","M",""
"121","F","02","01600545","INSPIRON Toastmasters Club","0","0","10","8","18","0","18","",""
"121","F","02","07817375","Karavali Toastmasters Club","12","1","25","21","47","0","59","M",""
"121","F","02","07854374","Roshni Toastmasters Club","3","0","8","8","16","0","19","",""
"121","F","03","00003698","Winners Club ","10","0","22","21","43","0","53","M",""
"121","F","03","07325136","Bantwal Speech Weavers","12","0","16","15","31","0","43","P",""
"121","F","03","07860728","Yenunciate Toastmasters Club","20","0","3","16","19","0","39","",""
"121","F","03","07877748","Let's Debate Toastmasters Club","8","0","14","13","27","0","35","P",""
"121","F","03","28678782","Moodbidri Toastmasters Club","1","0","9","9","18","0","19","",""
"121","F","03","28680397","Uxcel Toastmasters Club","0","0","0","0","0","20","20","","Charter 06/23/26"
"121","F","04","02818428","Milagres Toastmasters","4","0","9","7","16","0","20","",""
"121","F","04","03965394","Port Town Advanced Toastmasters","16","0","28","22","50","0","66","M",""
"121","F","04","07575734","Agnesian Toastmasters","17","0","13","9","22","0","39","P",""
"121","F","04","28677717","Niveus Toastmasters Club","8","0","15","14","29","0","37","",""
"121","F","04","28678985","Champion Evaluators Advanced Toastmasters Club","7","0","25","18","43","0","50","S",""
"121","F","05","01597746","ProAct Toastmasters Club","14","0","14","11","25","0","39","D",""
"121","F","05","07845796","Konkan Toastmasters","3","0","20","17","37","0","40","D",""
"121","F","05","07856512","St Aloysius Toastmasters Club","11","0","21","12","33","0","44","",""
"121","F","05","28678100","Coastal Divas Toastmasters Club","8","0","15","12","27","0","35","S",""
"121","F","05","28679902","EG India Toastmasters Club","0","0","0","45","45","45","90","","Charter 03/18/26"
"121","G","01","02389985","Trivandrum Toastmasters","22","0","28","22","50","0","72","M",""
"121","G","01","28677100","SADA India Toastmasters Club","10","0","4","9","13","0","23","",""
"121","G","01","28677544","Neyyar Toastmasters Club","4","0","10","4","14","0","18","",""
"121","G","01","28678049","TCS Maitree Trivandrum Toastmasters","4","0","7","6","13","0","17","",""
"121","G","01","28679400","RRD Trivandrum Toastmasters Club","4","0","0","17","17","20","41","D","Charter 11/13/25"
"121","G","02","07291065","H&R Block Toastmasters","16","0","33","34","67","0","83","M",""
"121","G","02","07844793","Technopark Toastmasters","20","0","24","21","45","0","65","M",""
"121","G","02","28675833","DCSMAT TRIVANDRUM Toastmasters","8","0","8","3","11","0","19","",""
"121","G","02","28677502","Allianz Services Toastmasters Club","26","0","38","18","56","0","82","S",""
"121","G","02","28679587","The Toastmasters' Travelogue","4","0","0","19","19","20","43","D","Charter 01/02/26"
"121","G","03","07843793","Ananthapuri Toastmasters","9","0","21","18","39","0","48","S",""
"121","G","03","07998505","PMI Kerala Chapter Toastmasters Club","4","0","12","9","21","0","25","",""
"121","G","03","28677285","SmarTalk Toastmasters","15","0","18","16","34","0","49","P",""
"121","G","03","28678096","Toastmasters of Trinfy","7","0","17","17","34","0","41","P",""
"121","G","04","05044336","The Quilon Toastmasters","12","0","16","20","36","0","48","P",""
"121","G","04","05455119","Centennial Orators","13","0","11","9","20","0","33","S",""
"121","G","04","28675854","SparkleV Toastmasters","0","0","15","11","26","0","26","",""
"121","G","04","28677130","Amrita Amritapuri Toastmasters Club","26","0","16","15","31","0","57","M",""
"121","G","04","28680203","Allianz Technology Toastmasters Club Trivandrum","0","0","0","0","0","25","25","","Charter 06/11/26"
"121","H","01","00691074","Kochi Club","24","0","50","45","95","0","119","M",""
"121","H","01","01418339","Assisi Toastmasters","5","0","16","16","32","0","37","P",""
"121","H","01","04936848","Special Zone Toastmasters","1","0","13","12","25","0","26","",""
"121","H","01","05409237","Spicy Toastmasters","1","0","17","11","28","0","29","",""
"121","H","01","28675794","Toastmasters of MITS","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","H","02","01376605","Travancore Toastmasters Club","9","0","27","24","51","0","60","M",""
"121","H","02","01379339","TCS Maitree Toastmasters Club: Kochi","17","0","14","11","25","0","42","P",""
"121","H","02","05342790","Tripunithura Toastmasters","4","0","8","7","15","0","19","",""
"121","H","02","28677516","V Guard Toastmasters Club","0","0","2","0","2","0","2",""," Susp 03/31/26"
"121","H","02","28678681","IBS Software Cochin Toastmasters","8","0","30","21","51","0","59","S",""
"121","H","03","03903550","Smartcity Toastmasters","1","0","7","8","15","0","16","",""
"121","H","03","04270664","Hubbell India Cochin","0","0","20","0","20","0","20","",""
"121","H","03","05025457","Advanced Toastmasters of Kerala","13","0","25","25","50","0","63","M",""
"121","H","03","07772212","Wipro Kochi Toastmasters Club","5","0","17","14","31","0","36","",""
"121","H","03","28678592","Orion Orators","35","0","12","14","26","0","61","D",""
"121","H","04","06048274","Mathrumalayalam Toastmasters Club","6","0","16","18","34","0","40","",""
"121","H","04","07632625","Kottayam Toastmasters Club","8","0","13","10","23","0","31","",""
"121","H","04","07904546","Eloquent Champs Toastmasters Club","7","0","11","11","22","0","29","D",""
"121","H","04","28677133","Thodupuzha Toastmasters Club","7","0","8","8","16","0","23","D",""
"121","H","05","01522721","Kerala Toastmasters","6","0","3","0","3","0","9","",""
"121","H","05","01593046","Chartered Toast Masters","8","0","12","11","23","0","31","",""
"121","H","05","01669119","Refinian Toastmasters Club","7","0","9","4","13","0","20","",""
"121","H","05","07679326","Litmus7 Kochi Toastmasters Club","14","0","13","12","25","0","39","S",""
"121","H","05","07980410","Queen City Toastmasters","9","0","19","16","35","0","44","S",""
"121","I","01","00009688","Infosys Toastmasters, Bangalore","30","0","10","14","24","0","54","M",""
"121","I","01","02104976","SIBM Bengaluru Toastmasters Club","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","I","01","07641558","Toast and Tales Toastmasters Club","20","0","23","18","41","0","61","M",""
"121","I","01","28677529","HPE Element Toastmasters","37","0","23","31","54","0","91","M",""
"121","I","01","28679397","TechM Bengaluru Toastmasters Club","3","0","0","8","8","18","29","","Charter 10/21/25"
"121","I","02","03674956","CGI Elite Speakers Forum","21","0","15","16","31","0","52","D",""
"121","I","02","04304110","Siemens Bangalore Toastmasters Club","16","0","20","17","37","0","53","P",""
"121","I","02","05185978","Electronics City Toastmasters Club","20","0","33","42","75","0","95","M",""
"121","I","02","06920786","Merck Toastmasters Club","5","0","3","4","7","0","12",""," Susp 03/31/26"
"121","I","02","28678701","Tavant Speakers Club","12","0","21","12","33","0","45","D",""
"121","I","02","28679581","Movius Toastmasters Club","0","0","0","24","24","24","48","","Charter 12/11/25"
"121","I","03","04958536","DB Bangalore Toastmasters Club","6","0","11","7","18","0","24","",""
"121","I","03","05843852","HSR Toastmasters Club","18","0","46","43","89","0","107","M",""
"121","I","03","28675609","Greenage Toastmasters Club","10","0","21","20","41","0","51","S",""
"121","I","03","28677107","Ascent Toastmasters Club","8","0","3","9","12","0","20","",""
"121","I","04","03283460","Wipro BEATS","11","0","16","12","28","0","39","",""
"121","I","04","07586759","MOOG Flyers","12","0","25","27","52","0","64","D",""
"121","I","04","28677664","Tessolve Toastmasters Club","7","0","9","12","21","0","28","",""
"121","I","04","28678026","Brighthearts Toastmasters","26","0","41","32","73","0","99","M",""
Month of Jun, As of 07/10/2026
