"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"121","A","03","03926170","Textron India Toastmasters Club","Active","Y","33","37","4","10","6","2","3","4","1","3","4","19","7","5","1","1","2","M"
"121","A","03","06479232","Mphasis Speech Crafters","Active","Y","23","30","7","10","4","2","2","2","1","1","4","27","7","6","1","1","2","M"
"121","A","03","28678028","Namaste Orators","Suspended","Y","10","0","-10","0","0","0","0","0","0","0","0","0","4","0","0","0","1",""
"121","A","03","28678938","DSBA Toastmaster Club","Active","Y","28","26","-2","5","4","2","0","0","0","0","4","15","7","7","0","0","1","D"
"121","A","03","28679826","DSBA Toastmasters Legacy Club","Active","N","27","27","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1",""
"121","A","04","07991317","Eloquence Elixir Toastmasters","Active","Y","21","16","-5","6","0","1","0","1","1","1","4","6","7","7","1","1","2",""
"121","A","04","28675492","Professional Orators and Leaders TM Club","Active","Y","25","25","0","10","4","2","3","2","1","1","4","7","7","7","1","1","1","M"
"121","A","04","28676363","Nagarabhavi Toastmasters Club","Active","Y","20","10","-10","8","5","2","0","1","1","1","4","8","7","6","1","0","1",""
"121","A","04","28677190","Christ Kengeri Club","Active","Y","32","13","-19","7","4","1","0","0","1","1","4","11","7","6","1","1","1",""
"121","A","04","28677268","ABBS Toastmasters Club","Active","Y","8","17","9","7","9","2","2","2","0","0","4","14","6","7","1","0","0","S"
"121","A","05","00631732","Mahaveer Speakers Forum Toastmaster Club","Active","Y","20","8","-12","6","2","2","0","2","1","1","4","3","5","4","0","0","2",""
"121","A","05","00632019","Jain Speakers Forum Toastmasters Club","Active","Y","20","8","-12","6","2","2","0","2","1","5","4","0","4","4","0","0","2",""
"121","A","05","00843177","Talk Master CMS Toastmasters Club","Active","Y","20","8","-12","5","2","2","0","2","1","3","2","0","4","4","0","0","2",""
"121","A","05","00843182","Speech Master CMS Toastmasters Club","Active","Y","20","9","-11","4","1","1","0","1","1","1","4","0","4","7","0","0","2",""
"121","B","01","07335393","Shivamogga Toastmasters","Active","Y","11","9","-2","4","1","0","0","0","1","0","4","1","4","4","0","1","1",""
"121","B","01","28675426","Valyou Toastmasters","Suspended","Y","8","0","-8","0","0","0","0","0","0","0","1","0","4","2","0","0","1",""
"121","B","01","28676014","Autodesk Toastmasters Club","Active","Y","51","83","32","10","5","2","2","4","1","8","4","94","7","7","1","1","1","M"
"121","B","01","28676901","Accenture Toasters","Active","Y","25","32","7","7","4","0","0","1","1","1","4","23","4","4","1","1","1","S"
"121","B","01","28678720","Acharyas Speaking Forum","Ineligible","Y","20","0","-20","5","11","2","2","0","0","0","0","0","7","7","1","0","1",""
"121","B","01","28678997","Paychex Catalyst Crew 2","Ineligible","Y","55","0","-55","2","0","0","0","0","0","0","4","14","4","1","0","0","1",""
"121","B","02","00000547","deejays Toastmasters","Active","Y","20","10","-10","5","1","0","0","0","1","1","4","2","7","7","1","1","2",""
"121","B","02","07734175","Republic of Toastmasters","Active","Y","20","20","0","10","7","2","5","9","1","1","4","19","7","7","1","1","2","P"
"121","B","02","28677183","Titans Toastmasters Club","Active","Y","16","13","-3","4","0","1","0","0","0","0","4","6","7","7","1","0","2",""
"121","B","02","28678400","Voices of Pearson Toastmasters Club","Active","Y","34","23","-11","5","4","0","0","0","0","0","4","19","5","5","1","0","1","D"
"121","B","02","28678746","The Orator's Society","Suspended","Y","50","0","-50","0","0","0","0","0","0","0","0","0","7","0","0","0","1",""
"121","B","03","06975394","Toastmasters of HP","Active","Y","20","28","8","10","9","2","3","4","1","3","4","18","7","7","1","1","2","M"
"121","B","03","07908984","RCB Griffin","Active","Y","29","25","-4","10","8","2","7","7","1","14","4","9","7","7","1","1","2","M"
"121","B","03","07908988","RCB Pegasus","Active","Y","27","25","-2","10","11","2","5","6","1","8","4","9","7","7","1","1","2","M"
"121","B","03","07908991","RCB Phoenix","Active","Y","25","8","-17","8","5","2","2","2","1","2","0","0","7","4","1","1","2",""
"121","B","03","28678996","Paychex Catalyst Crew 1","Ineligible","Y","21","0","-21","2","0","0","0","0","0","0","4","12","5","0","0","0","1",""
"121","B","03","28679255","Aurigo Toastbusters","Suspended","Y","26","0","-26","1","0","0","0","0","0","0","0","0","0","4","0","0","1",""
"121","B","04","05868577","Bosch Raconteurs","Active","Y","25","23","-2","10","4","2","2","2","1","1","4","8","7","7","1","1","1","P"
"121","B","04","05998569","BMC Bengaluru Toastmasters Club","Active","Y","8","8","0","4","1","0","0","0","1","2","4","0","7","4","0","0","1",""
"121","B","04","07934414","V R Advanced Toastmasters","Active","Y","25","20","-5","7","1","2","1","2","1","3","4","1","7","7","1","1","1","S"
"121","B","04","28677046","Bosch Adugodi","Active","Y","18","18","0","5","2","2","0","1","0","0","4","12","5","4","1","0","1",""
"121","C","01","01389390","IIMB Orators Club","Active","Y","58","59","1","10","8","2","5","3","1","5","4","10","7","7","1","1","2","M"
"121","C","01","07514725","LKQI Toastmasters Club","Active","Y","20","9","-11","5","2","1","0","0","1","1","4","4","4","0","1","0","1",""
"121","C","01","07762021","Christ Toastmasters Club","Active","Y","15","9","-6","9","4","2","3","3","1","2","4","3","6","7","1","0","1",""
"121","C","01","28678373","Sense-say-tional Toastmasters","Low","Y","20","6","-14","2","0","0","0","1","0","0","2","0","5","4","1","0","2",""
"121","C","02","00009639","Mecon Communication Club","Active","Y","39","39","0","10","7","2","4","2","1","1","4","22","7","7","1","1","2","M"
"121","C","02","04329635","Tarento India Toastmasters Club","Active","Y","22","17","-5","3","0","0","0","0","0","0","4","3","5","7","1","1","2",""
"121","C","02","06584495","The Impressions","Suspended","Y","8","0","-8","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"121","C","02","28675687","School of Commerce, Jain University Toastmasters","Active","Y","16","16","0","5","3","2","0","1","0","0","4","9","7","5","0","1","1",""
"121","C","03","02188958","Koramangala Toastmasters Club","Active","Y","46","46","0","10","11","2","6","4","1","7","4","28","7","6","1","1","2","M"
"121","C","03","06636162","BTM Toastmasters Club","Active","Y","30","29","-1","10","6","2","5","2","1","2","4","15","4","7","1","1","2","M"
"121","C","03","06636175","Clinisys Toastmasters Club","Active","Y","10","13","3","3","0","0","0","0","0","0","4","10","0","0","1","1","1",""
"121","C","03","28676357","Ascend Trailblazers Toastmasters Club","Suspended","Y","33","0","-33","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"121","C","03","28678910","Furlenco Toastmasters Club","Active","Y","29","14","-15","2","1","1","0","0","0","0","4","1","7","7","0","0","1",""
"121","C","03","28680500","eGov Toastmasters Club","Active","Y","20","30","10","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"121","C","04","04410336","Dhwani Toastmasters","Active","Y","32","33","1","9","4","2","2","0","1","2","4","21","7","7","1","1","2","P"
"121","C","04","07502654","Transcend Toastmasters Club","Active","Y","20","23","3","10","8","2","3","6","1","6","4","7","7","7","1","1","2","P"
"121","C","04","07856506","Transcend Toastmasters Club - 2","Active","Y","20","23","3","9","5","2","0","2","1","3","4","9","7","7","1","1","1","P"
"121","C","04","07962666","Transcend Toastmasters Club 3","Active","Y","20","21","1","10","4","2","3","5","1","5","4","5","7","7","1","1","2","P"
"121","D","01","03984104","Calicut Toastmasters","Active","Y","22","25","3","10","6","2","2","2","1","1","4","14","6","6","1","1","1","M"
"121","D","01","06750919","Kannur Toastmasters Club","Active","Y","10","10","0","8","4","2","0","2","1","2","4","1","5","5","1","1","1",""
"121","D","01","28675444","Advanced Debate Club","Active","Y","11","10","-1","2","0","0","0","0","0","0","2","0","6","4","1","1","1",""
"121","D","01","28676179","Malabar Toastmasters Club","Active","Y","23","25","2","10","4","2","2","3","1","2","4","13","7","7","1","1","1","M"
"121","D","02","01872178","Toastmasters Club Of Thrissur","Active","Y","22","25","3","10","4","2","2","3","1","3","4","13","5","4","1","1","1","M"
"121","D","02","05915386","Enterprising Toastmasters of Palakkad","Active","Y","27","27","0","10","5","2","4","3","1","7","4","10","6","5","1","1","1","M"
"121","D","02","07173481","Perinthalmanna Toastmasters Club","Ineligible","Y","12","0","-12","1","0","0","0","0","0","0","0","0","5","0","1","0","1",""
"121","D","02","28676579","Kasaragod Toastmasters Club","Active","N","11","8","-3","2","0","0","0","0","0","0","4","6","0","0","0","0","1",""
"121","D","02","28678457","Ayur Path Toastmasters Club","Suspended","Y","23","0","-23","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"121","D","03","04327554","Orators Toastmasters","Active","Y","9","11","2","8","4","2","0","3","1","2","4","2","5","4","1","1","1",""
"121","D","03","07814695","Thrissur Malayalam Toastmasters","Active","Y","15","9","-6","4","1","1","0","1","1","1","2","0","7","6","1","1","1",""
"121","D","03","07902228","ME Kerala Toastmasters Club","Active","Y","20","11","-9","5","2","2","0","1","1","1","1","0","6","4","1","1","1",""
"121","D","03","28675709","Sahrdaya Toastmasters Club","Ineligible","N","20","0","-20","5","3","2","0","1","1","2","3","0","7","5","1","0","1",""
"121","D","04","01207477","EKM Toastmasters","Active","Y","25","21","-4","9","5","2","0","2","1","2","4","6","6","6","1","1","1","P"
"121","D","04","07397586","Black Gold Toastmasters","Active","Y","20","20","0","2","3","1","0","0","0","0","4","2","7","7","0","0","2",""
"121","D","04","07854448","Heritage Toastmasters","Active","Y","11","8","-3","1","2","1","0","1","0","0","2","0","4","4","0","0","1",""
"121","D","04","07877475","Cask Orators","Active","Y","19","25","6","10","4","2","2","3","1","1","4","18","7","7","1","1","1","M"
"121","D","05","07527118","Lead Orators Toastmasters","Suspended","N","8","0","-8","0","0","0","0","0","0","0","0","0","1","0","0","0","0",""
"121","D","05","07657832","Bioingredia Toastmasters Club","Active","N","8","11","3","3","0","0","0","0","0","0","4","7","2","0","0","1","1",""
"121","D","05","07847626","Lead Champions Toastmasters Club","Suspended","Y","11","0","-11","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"121","D","05","07847628","LEAD THE WORLD TOASTMASTERS CLUB","Suspended","Y","8","0","-8","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"121","E","01","03859695","IBC Titans Toastmasters Club","Active","Y","13","9","-4","4","3","0","0","0","1","3","4","3","7","4","0","0","2",""
"121","E","01","04113936","Infinera Toastmasters","Active","Y","20","22","2","8","3","2","2","2","1","2","4","2","7","7","1","1","1","S"
"121","E","01","28676711","Melange Toastmasters Club","Active","Y","11","8","-3","5","2","1","0","3","1","4","2","0","7","7","1","1","2",""
"121","E","01","28676900","Acuity Toastmasters Open Mic","Active","Y","37","31","-6","10","6","2","3","3","1","3","4","25","7","6","1","1","2","M"
"121","E","02","05412566","RIPPLERS","Active","Y","23","35","12","10","4","2","2","3","1","2","4","31","7","4","1","1","2","M"
"121","E","02","06427472","Lead India Speakers Club","Active","Y","17","22","5","10","5","2","2","3","1","2","4","15","6","6","1","1","2","P"
"121","E","02","07711039","Words Worth Toastmasters","Active","Y","39","35","-4","10","7","2","6","5","1","3","4","10","7","7","1","1","2","M"
"121","E","02","28676701","Evolve Toastmasters","Active","Y","32","33","1","10","7","2","4","3","1","1","4","12","7","5","1","0","2","M"
"121","E","03","02405453","vTalk Toastmasters Club","Active","Y","25","8","-17","5","0","0","0","0","1","1","4","0","6","6","1","1","2",""
"121","E","03","06831114","Leaders Speak","Active","Y","29","22","-7","9","4","2","1","2","1","3","4","12","7","5","1","1","2","P"
"121","E","03","07460211","WeSpeak Toastmasters Club","Active","Y","33","25","-8","10","5","2","2","2","1","4","4","15","7","7","1","1","2","M"
"121","E","03","28678473","Flexera Toastmasters","Active","Y","38","38","0","5","4","2","0","0","0","0","4","38","4","6","0","0","2","D"
"121","E","04","00632425","CMS Speakers Forum Toastmasters Club","Active","Y","20","8","-12","6","3","2","2","3","1","7","3","0","7","7","0","0","2",""
"121","E","04","00725960","Jain Toastmasters Club","Active","Y","20","8","-12","7","3","2","4","7","1","9","4","0","7","7","0","0","2",""
"121","E","04","00726395","SBMJC Toastmasters Club","Active","Y","20","8","-12","7","2","2","2","3","1","5","4","1","7","7","0","0","2",""
"121","E","04","00726698","Mahaveer Toastmasters Club","Active","Y","20","8","-12","7","1","2","2","2","1","3","4","0","7","7","0","0","2",""
"121","F","01","03014292","TAPMI Toastmasters","Active","Y","15","8","-7","10","9","2","4","9","1","13","4","6","5","4","1","0","1",""
"121","F","01","03900632","Manipal-Udupi Toastmasters Club","Active","Y","10","20","10","7","1","1","0","2","1","1","4","9","5","4","1","1","1","S"
"121","F","01","06843977","MAHE Toastmasters Club","Active","Y","25","30","5","10","13","2","6","4","1","4","4","17","7","7","1","1","2","M"
"121","F","01","28676491","Udupi Toastmasters Club","Active","Y","29","17","-12","4","1","0","0","0","0","0","4","10","6","5","1","1","1",""
"121","F","02","00585650","Mangalore Club","Active","Y","33","33","0","10","4","2","2","3","1","3","4","4","7","6","1","1","1","M"
"121","F","02","01600545","INSPIRON Toastmasters Club","Active","Y","30","8","-22","2","0","0","0","0","0","0","0","0","6","4","1","1","1",""
"121","F","02","07817375","Karavali Toastmasters Club","Active","Y","36","25","-11","10","5","2","2","2","1","3","4","8","6","5","1","1","1","M"
"121","F","02","07854374","Roshni Toastmasters Club","Active","Y","20","9","-11","4","0","0","0","0","1","1","3","0","6","4","1","1","1",""
"121","F","03","00003698","Winners Club ","Active","Y","42","25","-17","10","4","2","2","3","1","2","4","6","7","5","1","1","1","M"
"121","F","03","07325136","Bantwal Speech Weavers","Active","Y","17","20","3","9","4","2","0","2","1","2","4","8","7","6","1","1","1","P"
"121","F","03","07860728","Yenunciate Toastmasters Club","Active","Y","8","22","14","4","0","0","0","0","0","0","4","16","5","5","1","1","1",""
"121","F","03","07877748","Let's Debate Toastmasters Club","Active","Y","31","21","-10","9","1","2","2","2","1","2","4","4","7","7","1","1","1","P"
"121","F","03","28678782","Moodbidri Toastmasters Club","Active","Y","22","9","-13","2","1","0","0","0","0","0","1","0","5","4","1","1","1",""
"121","F","03","28680397","Uxcel Toastmasters Club","Active","Y","20","20","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"121","F","04","02818428","Milagres Toastmasters","Active","Y","24","9","-15","6","4","0","0","0","1","1","4","0","6","4","1","1","1",""
"121","F","04","03965394","Port Town Advanced Toastmasters","Active","Y","55","27","-28","10","6","2","2","4","1","2","4","12","7","7","1","1","1","M"
"121","F","04","07575734","Agnesian Toastmasters","Active","Y","20","20","0","10","8","2","2","3","1","2","4","13","6","4","1","1","1","P"
"121","F","04","28677717","Niveus Toastmasters Club","Active","Y","29","15","-14","10","5","2","2","3","1","1","4","4","7","7","0","1","1",""
"121","F","04","28678985","Champion Evaluators Advanced Toastmasters Club","Active","Y","23","20","-3","7","0","2","0","2","1","1","4","3","4","6","1","1","1","S"
"121","F","05","01597746","ProAct Toastmasters Club","Active","Y","19","20","1","6","1","1","0","1","1","1","4","10","5","4","1","1","1","D"
"121","F","05","07845796","Konkan Toastmasters","Active","Y","35","20","-15","5","1","2","0","1","1","4","3","0","6","6","1","1","1","D"
"121","F","05","07856512","St Aloysius Toastmasters Club","Active","Y","20","13","-7","10","4","2","2","3","1","2","4","7","7","4","1","1","1",""
"121","F","05","28678100","Coastal Divas Toastmasters Club","Active","Y","21","20","-1","7","4","1","0","2","1","0","4","4","7","7","1","1","1","S"
"121","F","05","28679902","EG India Toastmasters Club","Active","N","45","45","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1",""
"121","G","01","02389985","Trivandrum Toastmasters","Active","Y","31","29","-2","10","5","2","2","3","1","1","4","18","6","5","1","1","1","M"
"121","G","01","28677100","SADA India Toastmasters Club","Active","Y","23","12","-11","7","12","2","2","1","0","0","4","6","7","7","1","1","1",""
"121","G","01","28677544","Neyyar Toastmasters Club","Active","Y","16","8","-8","8","4","2","0","2","1","1","4","0","5","5","1","0","1",""
"121","G","01","28678049","TCS Maitree Trivandrum Toastmasters","Active","Y","9","8","-1","3","0","1","0","0","0","0","4","0","6","4","1","1","1",""
"121","G","01","28679400","RRD Trivandrum Toastmasters Club","Active","Y","20","21","1","5","4","2","0","0","0","0","4","0","0","6","1","1","1","D"
"121","G","02","07291065","H&R Block Toastmasters","Active","Y","29","37","8","10","4","2","2","3","1","3","4","12","7","7","1","1","2","M"
"121","G","02","07844793","Technopark Toastmasters","Active","Y","29","26","-3","10","6","2","2","3","1","5","4","16","7","6","1","1","1","M"
"121","G","02","28675833","DCSMAT TRIVANDRUM Toastmasters","Active","Y","17","8","-9","4","0","0","0","0","0","0","4","4","7","4","0","1","1",""
"121","G","02","28677502","Allianz Services Toastmasters Club","Active","Y","63","44","-19","7","4","2","2","0","0","0","4","22","7","6","0","1","1","S"
"121","G","02","28679587","The Toastmasters' Travelogue","Active","Y","20","24","4","5","4","2","0","0","0","0","4","0","0","7","1","1","1","D"
"121","G","03","07843793","Ananthapuri Toastmasters","Active","Y","20","22","2","7","1","1","0","3","1","3","4","5","7","5","1","1","1","S"
"121","G","03","07998505","PMI Kerala Chapter Toastmasters Club","Active","Y","20","11","-9","5","1","1","0","1","1","1","4","0","7","6","1","1","1",""
"121","G","03","28677285","SmarTalk Toastmasters","Active","Y","24","20","-4","10","7","2","3","3","1","1","4","11","7","5","1","1","1","P"
"121","G","03","28678096","Toastmasters of Trinfy","Active","Y","26","20","-6","9","10","2","7","8","1","7","4","3","7","7","1","1","1","P"
"121","G","04","05044336","The Quilon Toastmasters","Active","Y","21","22","1","10","4","2","4","4","1","2","4","8","7","7","1","1","1","P"
"121","G","04","05455119","Centennial Orators","Active","Y","12","17","5","10","4","2","3","3","1","2","4","9","5","4","1","1","1","S"
"121","G","04","28675854","SparkleV Toastmasters","Active","Y","20","11","-9","5","3","2","1","2","1","0","0","0","6","5","1","1","1",""
"121","G","04","28677130","Amrita Amritapuri Toastmasters Club","Active","Y","12","28","16","10","7","2","4","2","1","1","4","22","5","5","1","1","1","M"
"121","G","04","28680203","Allianz Technology Toastmasters Club Trivandrum","Active","Y","25","25","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"121","H","01","00691074","Kochi Club","Active","Y","52","51","-1","10","7","2","4","3","1","4","4","20","5","6","1","1","1","M"
"121","H","01","01418339","Assisi Toastmasters","Active","Y","20","20","0","9","4","2","2","2","1","1","4","1","7","4","1","1","1","P"
"121","H","01","04936848","Special Zone Toastmasters","Active","Y","16","13","-3","5","3","2","0","2","1","2","1","0","6","3","1","1","1",""
"121","H","01","05409237","Spicy Toastmasters","Active","Y","19","12","-7","1","1","0","0","2","0","0","1","0","7","2","0","0","1",""
"121","H","01","28675794","Toastmasters of MITS","Suspended","Y","11","0","-11","2","1","0","0","0","1","1","0","0","5","0","0","0","1",""
"121","H","02","01376605","Travancore Toastmasters Club","Active","Y","25","25","0","10","4","2","2","2","1","1","4","5","7","4","1","1","1","M"
"121","H","02","01379339","TCS Maitree Toastmasters Club: Kochi","Active","Y","20","20","0","10","6","2","3","3","1","5","4","13","7","7","1","1","1","P"
"121","H","02","05342790","Tripunithura Toastmasters","Active","Y","11","8","-3","2","0","0","0","0","0","0","4","0","2","1","1","0","1",""
"121","H","02","28677516","V Guard Toastmasters Club","Suspended","N","11","0","-11","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"121","H","02","28678681","IBS Software Cochin Toastmasters","Active","Y","49","21","-28","8","5","2","2","2","0","0","4","4","5","5","1","1","1","S"
"121","H","03","03903550","Smartcity Toastmasters","Active","Y","8","8","0","2","0","1","0","0","1","1","1","0","4","1","0","0","1",""
"121","H","03","04270664","Hubbell India Cochin","Ineligible","N","20","0","-20","1","0","0","0","0","0","0","0","0","0","0","1","0","1",""
"121","H","03","05025457","Advanced Toastmasters of Kerala","Active","Y","28","28","0","10","4","2","2","3","1","5","4","9","6","6","1","1","1","M"
"121","H","03","07772212","Wipro Kochi Toastmasters Club","Active","Y","15","14","-1","9","9","2","2","5","1","4","4","1","7","5","1","1","1",""
"121","H","03","28678592","Orion Orators","Active","Y","23","36","13","5","4","0","0","0","0","0","4","31","7","6","0","1","1","D"
"121","H","04","06048274","Mathrumalayalam Toastmasters Club","Active","Y","20","18","-2","7","2","2","0","2","1","1","4","2","7","7","1","1","1",""
"121","H","04","07632625","Kottayam Toastmasters Club","Active","Y","14","15","1","6","3","2","1","1","1","0","4","4","7","6","1","1","1",""
"121","H","04","07904546","Eloquent Champs Toastmasters Club","Active","Y","12","15","3","5","4","0","0","0","1","0","4","3","5","6","1","1","1","D"
"121","H","04","28677133","Thodupuzha Toastmasters Club","Active","Y","11","14","3","7","5","2","1","1","1","1","4","3","5","4","1","1","1","D"
"121","H","05","01522721","Kerala Toastmasters","Ineligible","Y","8","0","-8","1","0","0","0","0","0","0","4","2","4","1","0","0","1",""
"121","H","05","01593046","Chartered Toast Masters","Active","Y","21","17","-4","4","4","1","0","1","0","0","4","4","0","1","1","1","1",""
"121","H","05","01669119","Refinian Toastmasters Club","Low","Y","8","4","-4","2","0","0","0","0","0","0","4","3","0","0","1","0","1",""
"121","H","05","07679326","Litmus7 Kochi Toastmasters Club","Active","Y","23","21","-2","7","1","0","0","2","1","1","4","10","6","4","1","1","1","S"
"121","H","05","07980410","Queen City Toastmasters","Active","Y","20","20","0","8","1","2","3","3","1","0","4","5","6","6","1","1","1","S"
"121","I","01","00009688","Infosys Toastmasters, Bangalore","Active","Y","21","25","4","10","4","2","2","4","1","1","4","26","5","7","1","1","2","M"
"121","I","01","02104976","SIBM Bengaluru Toastmasters Club","Suspended","Y","16","0","-16","0","1","0","0","0","0","0","0","0","0","0","0","0","1",""
"121","I","01","07641558","Toast and Tales Toastmasters Club","Active","Y","27","26","-1","10","5","2","2","2","1","2","4","16","6","7","1","1","2","M"
"121","I","01","28677529","HPE Element Toastmasters","Active","Y","32","45","13","10","6","2","2","2","1","1","4","33","7","7","1","0","2","M"
"121","I","01","28679397","TechM Bengaluru Toastmasters Club","Active","Y","20","9","-11","3","0","1","0","3","0","0","3","0","0","6","1","0","2",""
"121","I","02","03674956","CGI Elite Speakers Forum","Active","Y","24","20","-4","6","1","0","0","2","1","0","4","17","7","5","0","1","2","D"
"121","I","02","04304110","Siemens Bangalore Toastmasters Club","Active","Y","23","23","0","9","5","2","2","1","1","1","4","12","7","7","1","1","2","P"
"121","I","02","05185978","Electronics City Toastmasters Club","Active","Y","31","44","13","10","8","2","10","6","1","5","4","16","7","7","1","1","2","M"
"121","I","02","06920786","Merck Toastmasters Club","Suspended","Y","8","5","-3","1","0","0","0","0","0","0","4","1","3","0","0","0","1",""
"121","I","02","28678701","Tavant Speakers Club","Active","Y","30","20","-10","5","7","2","0","0","0","0","4","8","7","5","0","0","2","D"
"121","I","02","28679581","Movius Toastmasters Club","Active","N","24","24","0","2","0","0","0","0","0","0","0","0","0","5","1","1","1",""
"121","I","03","04958536","DB Bangalore Toastmasters Club","Active","Y","8","8","0","5","1","2","0","0","1","0","4","2","7","4","1","0","1",""
"121","I","03","05843852","HSR Toastmasters Club","Active","Y","50","48","-2","10","8","2","8","5","1","1","4","14","7","7","1","1","2","M"
"121","I","03","28675609","Greenage Toastmasters Club","Active","Y","25","24","-1","8","5","1","0","4","1","1","4","6","6","7","1","1","2","S"
"121","I","03","28677107","Ascent Toastmasters Club","Active","Y","13","11","-2","4","0","0","0","0","0","0","4","4","7","4","0","1","1",""
"121","I","04","03283460","Wipro BEATS","Active","Y","20","16","-4","9","5","2","2","4","1","0","4","7","7","4","1","1","2",""
"121","I","04","07586759","MOOG Flyers","Active","Y","26","29","3","5","1","2","0","0","0","0","4","8","7","6","1","0","2","D"
"121","I","04","28677664","Tessolve Toastmasters Club","Active","Y","11","12","1","3","1","1","0","0","0","0","4","3","7","6","1","1","2",""
"121","I","04","28678026","Brighthearts Toastmasters","Active","Y","39","41","2","10","9","2","2","6","1","2","4","22","7","7","1","1","2","M"
Month of Jun, As of 07/10/2026
