"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"121","A","02","28679251","Terra","0","0","1","1","0","0","","5","5","5","6","5","3","4","4","3","Distinguished","23","23","24","25","23","11","12","13","12","Distinguished","Charter 09/30/25 Susp 03/31/26"
"121","A","03","03793772","Utthishta Toastmasters","1","1","1","1","55","10","M","5","5","5","6","5","3","4","4","4","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","03","03926170","Textron India Toastmasters Club","1","1","1","1","37","10","M","5","5","5","6","5","3","4","4","4","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","03","06479232","Mphasis Speech Crafters","1","1","1","1","30","10","M","5","5","5","6","5","3","4","4","4","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","03","28678028","Namaste Orators","0","0","1","1","0","0","","5","5","5","6","5","3","4","4","4","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished"," Susp 03/31/26"
"121","A","03","28678938","DSBA Toastmaster Club","1","1","1","1","26","5","D","5","5","5","6","5","3","4","4","4","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","03","28679826","DSBA Toastmasters Legacy Club","0","1","0","1","27","1","","5","5","5","6","5","3","4","4","4","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished","Charter 03/01/26"
"121","A","04","07991317","Eloquence Elixir Toastmasters","1","1","1","0","16","6","","5","5","5","6","5","3","4","4","2","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","04","28675492","Professional Orators and Leaders TM Club","1","1","1","0","25","10","M","5","5","5","6","5","3","4","4","2","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","04","28676363","Nagarabhavi Toastmasters Club","1","1","1","1","10","8","","5","5","5","6","5","3","4","4","2","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","04","28677190","Christ Kengeri Club","1","1","1","1","13","7","","5","5","5","6","5","3","4","4","2","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","04","28677268","ABBS Toastmasters Club","1","1","1","1","17","7","S","5","5","5","6","5","3","4","4","2","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","05","00631732","Mahaveer Speakers Forum Toastmaster Club","1","1","1","1","8","6","","4","4","4","5","4","2","3","3","0","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","05","00632019","Jain Speakers Forum Toastmasters Club","1","1","1","1","8","6","","4","4","4","5","4","2","3","3","0","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","05","00843177","Talk Master CMS Toastmasters Club","1","1","1","1","8","5","","4","4","4","5","4","2","3","3","0","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","05","00843182","Speech Master CMS Toastmasters Club","1","1","1","1","9","4","","4","4","4","5","4","2","3","3","0","","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","B","01","07335393","Shivamogga Toastmasters","1","1","1","1","9","4","","5","5","5","6","3","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","01","28675426","Valyou Toastmasters","0","0","1","1","0","0","","5","5","5","6","3","3","4","4","2","","18","18","19","20","15","9","9","10","9",""," Susp 03/31/26"
"121","B","01","28676014","Autodesk Toastmasters Club","1","1","1","1","83","10","M","5","5","5","6","3","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","01","28676901","Accenture Toasters","1","1","1","1","32","7","S","5","5","5","6","3","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","01","28678720","Acharyas Speaking Forum","1","0","1","1","0","5","","5","5","5","6","3","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","01","28678997","Paychex Catalyst Crew 2","1","0","1","1","0","2","","5","5","5","6","3","3","4","4","2","","18","18","19","20","15","9","9","10","9","","Charter 08/01/25"
"121","B","02","00000547","deejays Toastmasters","1","1","1","1","10","5","","5","5","5","6","4","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","02","07734175","Republic of Toastmasters","1","1","1","1","20","10","P","5","5","5","6","4","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","02","28677183","Titans Toastmasters Club","1","1","1","1","13","4","","5","5","5","6","4","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","02","28678400","Voices of Pearson Toastmasters Club","1","1","1","1","23","5","D","5","5","5","6","4","3","4","4","2","","18","18","19","20","15","9","9","10","9","",""
"121","B","02","28678746","The Orator's Society","0","0","1","1","0","0","","5","5","5","6","4","3","4","4","2","","18","18","19","20","15","9","9","10","9",""," Susp 03/31/26"
"121","B","03","06975394","Toastmasters of HP","1","1","1","1","28","10","M","4","4","4","5","4","2","3","3","3","Select Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","03","07908984","RCB Griffin","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","3","Select Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","03","07908988","RCB Pegasus","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","3","Select Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","03","07908991","RCB Phoenix","1","1","1","1","8","8","","4","4","4","5","4","2","3","3","3","Select Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","03","28678996","Paychex Catalyst Crew 1","1","0","1","1","0","2","","4","4","4","5","4","2","3","3","3","Select Distinguished","18","18","19","20","15","9","9","10","9","","Charter 08/01/25"
"121","B","03","28679255","Aurigo Toastbusters","0","0","1","1","0","1","","4","4","4","5","4","2","3","3","3","Select Distinguished","18","18","19","20","15","9","9","10","9","","Charter 09/30/25 Susp 03/31/26"
"121","B","04","05868577","Bosch Raconteurs","1","1","1","1","23","10","P","4","4","4","5","4","2","3","3","2","Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","04","05998569","BMC Bengaluru Toastmasters Club","1","1","1","1","8","4","","4","4","4","5","4","2","3","3","2","Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","04","07934414","V R Advanced Toastmasters","1","1","1","1","20","7","S","4","4","4","5","4","2","3","3","2","Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","B","04","28677046","Bosch Adugodi","1","1","1","1","18","5","","4","4","4","5","4","2","3","3","2","Distinguished","18","18","19","20","15","9","9","10","9","",""
"121","C","01","01389390","IIMB Orators Club","1","1","1","1","59","10","M","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","01","07514725","LKQI Toastmasters Club","1","1","1","0","9","5","","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","01","07762021","Christ Toastmasters Club","1","1","1","1","9","9","","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","01","28678373","Sense-say-tional Toastmasters","1","0","1","1","6","2","","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","02","00009639","Mecon Communication Club","1","1","1","1","39","10","M","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","02","04329635","Tarento India Toastmasters Club","1","1","1","1","17","3","","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","02","06584495","The Impressions","0","0","1","0","0","0","","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8",""," Susp 03/31/26"
"121","C","02","28675687","School of Commerce, Jain University Toastmasters","1","1","1","1","16","5","","4","4","4","5","3","2","3","3","1","","17","17","18","19","15","8","9","10","8","",""
"121","C","03","02188958","Koramangala Toastmasters Club","1","1","1","1","46","10","M","5","5","5","6","5","3","4","4","2","","17","17","18","19","15","8","9","10","8","",""
"121","C","03","06636162","BTM Toastmasters Club","1","1","1","1","29","10","M","5","5","5","6","5","3","4","4","2","","17","17","18","19","15","8","9","10","8","",""
"121","C","03","06636175","Clinisys Toastmasters Club","1","1","1","1","13","3","","5","5","5","6","5","3","4","4","2","","17","17","18","19","15","8","9","10","8","",""
"121","C","03","28676357","Ascend Trailblazers Toastmasters Club","0","0","1","0","0","0","","5","5","5","6","5","3","4","4","2","","17","17","18","19","15","8","9","10","8",""," Susp 03/31/26"
"121","C","03","28678910","Furlenco Toastmasters Club","1","1","1","1","14","2","","5","5","5","6","5","3","4","4","2","","17","17","18","19","15","8","9","10","8","",""
"121","C","03","28680500","eGov Toastmasters Club","0","0","0","0","30","1","","5","5","5","6","5","3","4","4","2","","17","17","18","19","15","8","9","10","8","","Charter 06/30/26"
"121","C","04","04410336","Dhwani Toastmasters","1","1","1","1","33","9","P","4","4","4","5","4","2","3","3","4","Select Distinguished","17","17","18","19","15","8","9","10","8","",""
"121","C","04","07502654","Transcend Toastmasters Club","1","1","1","1","23","10","P","4","4","4","5","4","2","3","3","4","Select Distinguished","17","17","18","19","15","8","9","10","8","",""
"121","C","04","07856506","Transcend Toastmasters Club - 2","1","1","1","1","23","9","P","4","4","4","5","4","2","3","3","4","Select Distinguished","17","17","18","19","15","8","9","10","8","",""
"121","C","04","07962666","Transcend Toastmasters Club 3","1","1","1","1","21","10","P","4","4","4","5","4","2","3","3","4","Select Distinguished","17","17","18","19","15","8","9","10","8","",""
"121","D","01","03984104","Calicut Toastmasters","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","01","06750919","Kannur Toastmasters Club","1","1","1","1","10","8","","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","01","28675444","Advanced Debate Club","1","1","1","1","10","2","","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","01","28676179","Malabar Toastmasters Club","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","02","01872178","Toastmasters Club Of Thrissur","1","1","1","0","25","10","M","5","5","5","6","3","3","4","4","2","","21","21","22","23","15","10","11","12","6","",""
"121","D","02","05915386","Enterprising Toastmasters of Palakkad","1","1","1","0","27","10","M","5","5","5","6","3","3","4","4","2","","21","21","22","23","15","10","11","12","6","",""
"121","D","02","07173481","Perinthalmanna Toastmasters Club","1","0","1","0","0","1","","5","5","5","6","3","3","4","4","2","","21","21","22","23","15","10","11","12","6","",""
"121","D","02","28676579","Kasaragod Toastmasters Club","1","1","1","0","8","2","","5","5","5","6","3","3","4","4","2","","21","21","22","23","15","10","11","12","6","",""
"121","D","02","28678457","Ayur Path Toastmasters Club","0","0","1","0","0","0","","5","5","5","6","3","3","4","4","2","","21","21","22","23","15","10","11","12","6",""," Susp 03/31/26"
"121","D","03","04327554","Orators Toastmasters","1","1","1","1","11","8","","4","4","4","5","3","2","3","3","0","","21","21","22","23","15","10","11","12","6","",""
"121","D","03","07814695","Thrissur Malayalam Toastmasters","1","1","1","1","9","4","","4","4","4","5","3","2","3","3","0","","21","21","22","23","15","10","11","12","6","",""
"121","D","03","07902228","ME Kerala Toastmasters Club","1","1","1","1","11","5","","4","4","4","5","3","2","3","3","0","","21","21","22","23","15","10","11","12","6","",""
"121","D","03","28675709","Sahrdaya Toastmasters Club","1","0","1","1","0","5","","4","4","4","5","3","2","3","3","0","","21","21","22","23","15","10","11","12","6","",""
"121","D","04","01207477","EKM Toastmasters","1","1","1","1","21","9","P","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","04","07397586","Black Gold Toastmasters","1","1","1","1","20","2","","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","04","07854448","Heritage Toastmasters","1","1","1","1","8","1","","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","04","07877475","Cask Orators","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","2","Distinguished","21","21","22","23","15","10","11","12","6","",""
"121","D","05","07527118","Lead Orators Toastmasters","0","0","1","0","0","0","","4","4","4","5","1","2","3","3","0","","21","21","22","23","15","10","11","12","6",""," Susp 03/31/26"
"121","D","05","07657832","Bioingredia Toastmasters Club","1","1","1","0","11","3","","4","4","4","5","1","2","3","3","0","","21","21","22","23","15","10","11","12","6","",""
"121","D","05","07847626","Lead Champions Toastmasters Club","0","0","1","0","0","0","","4","4","4","5","1","2","3","3","0","","21","21","22","23","15","10","11","12","6",""," Susp 03/31/26"
"121","D","05","07847628","LEAD THE WORLD TOASTMASTERS CLUB","0","0","1","0","0","0","","4","4","4","5","1","2","3","3","0","","21","21","22","23","15","10","11","12","6",""," Susp 03/31/26"
"121","E","01","03859695","IBC Titans Toastmasters Club","1","1","1","1","9","4","","4","4","4","5","4","2","3","3","2","Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","01","04113936","Infinera Toastmasters","1","1","1","1","22","8","S","4","4","4","5","4","2","3","3","2","Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","01","28676711","Melange Toastmasters Club","1","1","1","1","8","5","","4","4","4","5","4","2","3","3","2","Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","01","28676900","Acuity Toastmasters Open Mic","1","1","1","1","31","10","M","4","4","4","5","4","2","3","3","2","Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","02","05412566","RIPPLERS","1","1","1","1","35","10","M","4","4","4","5","4","2","3","3","4","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","02","06427472","Lead India Speakers Club","1","1","1","1","22","10","P","4","4","4","5","4","2","3","3","4","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","02","07711039","Words Worth Toastmasters","1","1","1","1","35","10","M","4","4","4","5","4","2","3","3","4","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","02","28676701","Evolve Toastmasters","1","1","1","1","33","10","M","4","4","4","5","4","2","3","3","4","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","03","02405453","vTalk Toastmasters Club","1","1","1","1","8","5","","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","03","06831114","Leaders Speak","1","1","1","1","22","9","P","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","03","07460211","WeSpeak Toastmasters Club","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","03","28678473","Flexera Toastmasters","1","1","1","1","38","5","D","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","04","00632425","CMS Speakers Forum Toastmasters Club","1","1","1","1","8","6","","4","4","4","5","4","2","3","3","0","","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","04","00725960","Jain Toastmasters Club","1","1","1","1","8","7","","4","4","4","5","4","2","3","3","0","","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","04","00726395","SBMJC Toastmasters Club","1","1","1","1","8","7","","4","4","4","5","4","2","3","3","0","","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","E","04","00726698","Mahaveer Toastmasters Club","1","1","1","1","8","7","","4","4","4","5","4","2","3","3","0","","16","16","17","18","16","8","8","9","9","Distinguished",""
"121","F","01","03014292","TAPMI Toastmasters","1","1","1","1","8","10","","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","01","03900632","Manipal-Udupi Toastmasters Club","1","1","1","1","20","7","S","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","01","06843977","MAHE Toastmasters Club","1","1","1","1","30","10","M","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","01","28676491","Udupi Toastmasters Club","1","1","1","1","17","4","","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","02","00585650","Mangalore Club","1","1","1","1","33","10","M","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","02","01600545","INSPIRON Toastmasters Club","1","1","1","1","8","2","","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","02","07817375","Karavali Toastmasters Club","1","1","1","1","25","10","M","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","02","07854374","Roshni Toastmasters Club","1","1","1","1","9","4","","4","4","4","5","4","2","3","3","2","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","03","00003698","Winners Club ","1","1","1","1","25","10","M","5","5","5","6","6","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","03","07325136","Bantwal Speech Weavers","1","1","1","1","20","9","P","5","5","5","6","6","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","03","07860728","Yenunciate Toastmasters Club","1","1","1","1","22","4","","5","5","5","6","6","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","03","07877748","Let's Debate Toastmasters Club","1","1","1","1","21","9","P","5","5","5","6","6","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","03","28678782","Moodbidri Toastmasters Club","1","1","1","1","9","2","","5","5","5","6","6","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","03","28680397","Uxcel Toastmasters Club","0","0","0","0","20","1","","5","5","5","6","6","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished","Charter 06/23/26"
"121","F","04","02818428","Milagres Toastmasters","1","1","1","1","9","6","","5","5","5","6","5","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","04","03965394","Port Town Advanced Toastmasters","1","1","1","1","27","10","M","5","5","5","6","5","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","04","07575734","Agnesian Toastmasters","1","1","1","1","20","10","P","5","5","5","6","5","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","04","28677717","Niveus Toastmasters Club","1","1","1","1","15","10","","5","5","5","6","5","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","04","28678985","Champion Evaluators Advanced Toastmasters Club","1","1","1","1","20","7","S","5","5","5","6","5","3","4","4","3","Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","05","01597746","ProAct Toastmasters Club","1","1","1","1","20","6","D","4","4","4","5","5","2","3","3","3","President's Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","05","07845796","Konkan Toastmasters","1","1","1","1","20","5","D","4","4","4","5","5","2","3","3","3","President's Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","05","07856512","St Aloysius Toastmasters Club","1","1","1","1","13","10","","4","4","4","5","5","2","3","3","3","President's Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","05","28678100","Coastal Divas Toastmasters Club","1","1","1","1","20","7","S","4","4","4","5","5","2","3","3","3","President's Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished",""
"121","F","05","28679902","EG India Toastmasters Club","0","1","0","1","45","1","","4","4","4","5","5","2","3","3","3","President's Distinguished","22","22","23","24","24","10","11","13","13","President's Distinguished","Charter 03/18/26"
"121","G","01","02389985","Trivandrum Toastmasters","1","1","1","1","29","10","M","4","4","4","5","5","2","3","3","2","Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","01","28677100","SADA India Toastmasters Club","1","1","1","1","12","7","","4","4","4","5","5","2","3","3","2","Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","01","28677544","Neyyar Toastmasters Club","1","1","1","1","8","8","","4","4","4","5","5","2","3","3","2","Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","01","28678049","TCS Maitree Trivandrum Toastmasters","1","1","1","1","8","3","","4","4","4","5","5","2","3","3","2","Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","01","28679400","RRD Trivandrum Toastmasters Club","0","1","0","1","21","5","D","4","4","4","5","5","2","3","3","2","Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished","Charter 11/13/25"
"121","G","02","07291065","H&R Block Toastmasters","1","1","1","1","37","10","M","4","4","4","5","5","2","3","3","4","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","02","07844793","Technopark Toastmasters","1","1","1","1","26","10","M","4","4","4","5","5","2","3","3","4","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","02","28675833","DCSMAT TRIVANDRUM Toastmasters","1","1","1","1","8","4","","4","4","4","5","5","2","3","3","4","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","02","28677502","Allianz Services Toastmasters Club","1","1","1","1","44","7","S","4","4","4","5","5","2","3","3","4","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","02","28679587","The Toastmasters' Travelogue","0","1","0","1","24","5","D","4","4","4","5","5","2","3","3","4","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished","Charter 01/02/26"
"121","G","03","07843793","Ananthapuri Toastmasters","1","1","1","1","22","7","S","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","03","07998505","PMI Kerala Chapter Toastmasters Club","1","1","1","1","11","5","","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","03","28677285","SmarTalk Toastmasters","1","1","1","1","20","10","P","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","03","28678096","Toastmasters of Trinfy","1","1","1","1","20","9","P","4","4","4","5","4","2","3","3","3","Select Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","04","05044336","The Quilon Toastmasters","1","1","1","1","22","10","P","4","4","4","5","5","2","3","3","3","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","04","05455119","Centennial Orators","1","1","1","1","17","10","S","4","4","4","5","5","2","3","3","3","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","04","28675854","SparkleV Toastmasters","1","1","1","1","11","5","","4","4","4","5","5","2","3","3","3","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","04","28677130","Amrita Amritapuri Toastmasters Club","1","1","1","1","28","10","M","4","4","4","5","5","2","3","3","3","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished",""
"121","G","04","28680203","Allianz Technology Toastmasters Club Trivandrum","0","0","0","0","25","1","","4","4","4","5","5","2","3","3","3","President's Distinguished","16","16","17","18","19","8","8","9","12","President's Distinguished","Charter 06/11/26"
"121","H","01","00691074","Kochi Club","1","1","1","1","51","10","M","5","5","5","6","4","3","4","4","2","","24","24","25","26","19","11","12","14","11","",""
"121","H","01","01418339","Assisi Toastmasters","1","1","1","1","20","9","P","5","5","5","6","4","3","4","4","2","","24","24","25","26","19","11","12","14","11","",""
"121","H","01","04936848","Special Zone Toastmasters","1","1","1","1","13","5","","5","5","5","6","4","3","4","4","2","","24","24","25","26","19","11","12","14","11","",""
"121","H","01","05409237","Spicy Toastmasters","1","1","1","1","12","1","","5","5","5","6","4","3","4","4","2","","24","24","25","26","19","11","12","14","11","",""
"121","H","01","28675794","Toastmasters of MITS","0","0","1","0","0","2","","5","5","5","6","4","3","4","4","2","","24","24","25","26","19","11","12","14","11",""," Susp 03/31/26"
"121","H","02","01376605","Travancore Toastmasters Club","1","1","1","0","25","10","M","5","5","5","6","4","3","4","4","3","","24","24","25","26","19","11","12","14","11","",""
"121","H","02","01379339","TCS Maitree Toastmasters Club: Kochi","1","1","1","1","20","10","P","5","5","5","6","4","3","4","4","3","","24","24","25","26","19","11","12","14","11","",""
